nretweets,srclng,srclat,dstlng,dstlat
36,-0.1276831,51.5073346,-91.8479332,37.6658757
36,2.1699187,41.387917,-0.3768049,39.4702393
35,6.1422961,46.1983922,-58.3815931,-34.6037232
35,-3.7003454,40.4166909,-3.8079336,43.4609602
35,-74.0059731,40.7143528,-51.92528,-14.235004
35,-74.0059731,40.7143528,-83.0457538,42.331427
35,-122.2930341,37.7924029,-4.251806,55.864237
35,6.1422961,46.1983922,4.3517103,50.8503396
35,-0.1276831,51.5073346,174.776236,-41.2864603
35,-46.6388182,-23.5489433,-38.5433948,-3.7183943
35,-3.7177394,40.4381655,-3.74922,40.463667
35,-118.2436849,34.0522342,-79.3831843,43.653226
35,-3.435973,55.378051,-6.2600825,53.3494426
35,-3.7003454,40.4166909,-2.4499826,42.4656807
35,6.1422961,46.1983922,-1.470085,53.381129
35,35.243322,38.963745,32.85411,39.92077
35,6.1422961,46.1983922,138.5999453,-34.9287264
35,-74.0059731,40.7143528,-3.7003454,40.4166909
35,6.1422961,46.1983922,121.774017,12.879721
35,-89.3985283,40.6331249,9.186516,45.4654542
34,-74.0059731,40.7143528,-117.1572551,32.7153292
34,-74.0059731,40.7143528,-123.1139268,49.261226
34,-91.8479332,37.6658757,-74.0059731,40.7143528
34,-57.6351,-25.2821972,-57.6351,-25.2821972
34,-2.247926,53.479251,-8.24389,53.41291
34,2.1699187,41.387917,-5.9962951,37.38264
34,-63.616672,-38.416097,-58.3815931,-34.6037232
34,-0.1276831,51.5073346,-73.95,40.65
34,-105.2705456,40.0149856,-118.2436849,34.0522342
34,-3.435973,55.378051,151.2068896,-33.873651
34,-3.435973,55.378051,-118.2436849,34.0522342
34,6.1422961,46.1983922,10.7522454,59.9138688
34,-0.1276831,51.5073346,121.774017,12.879721
34,-99.133208,19.4326077,-100.309201,25.6732109
34,6.1422961,46.1983922,-73.95,40.65
34,6.069864,46.317077,-0.1276831,51.5073346
33,-0.1276831,51.5073346,6.1422961,46.1983922
33,-0.1276831,51.5073346,-117.1572551,32.7153292
33,6.1422961,46.1983922,25.748151,61.92411
33,-2.247926,53.479251,-74.0059731,40.7143528
33,-0.1276831,51.5073346,-81.5157535,27.6648274
33,-0.1276831,51.5073346,-51.92528,-14.235004
33,-0.1276831,51.5073346,-97.7430608,30.267153
33,-3.7003454,40.4166909,-64.1821289,-31.3989296
33,-0.1276831,51.5073346,-2.70309,53.763201
33,-74.0059731,40.7143528,72.8776559,19.0759837
33,23.7293097,37.9837155,21.824312,39.074208
33,6.1422961,46.1983922,-84.3879824,33.7489954
33,13.003822,55.604981,78.96288,20.593684
33,-2.247926,53.479251,151.2068896,-33.873651
33,6.1422961,46.1983922,28.0473051,-26.2041028
33,6.1422961,46.1983922,-0.3768049,39.4702393
32,-105.2705456,40.0149856,151.2068896,-33.873651
32,-74.0059731,40.7143528,-80.2264393,25.7889689
32,-105.2705456,40.0149856,144.9630556,-37.8136111
32,-74.11705,10.0556,-3.7003454,40.4166909
32,-0.1276831,51.5073346,-74.0758333,4.5980556
32,-0.1276831,51.5073346,-84.3879824,33.7489954
32,-8.395835,43.3708731,-3.74922,40.463667
32,-74.0059731,40.7143528,139.6917064,35.6894875
32,-89.3985283,40.6331249,12.4607737,41.9015141
32,6.1422961,46.1983922,-2.9915726,53.4083714
32,6.1422961,46.1983922,-122.6762071,45.5234515
32,-7.891352,51.9394189,-0.1276831,51.5073346
32,-105.2705456,40.0149856,-74.0059731,40.7143528
32,-5.9832577,43.2504393,-3.7003454,40.4166909
31,-4.7283811,41.6529434,-3.74922,40.463667
31,-0.1276831,51.5073346,-3.533899,50.718412
31,-3.7003454,40.4166909,-0.9912944,37.6056505
31,-74.0059731,40.7143528,-95.3693896,29.7601927
31,-84.7227071,39.0841968,-102.552784,23.634501
31,6.1422961,46.1983922,-74.4056612,40.0583238
31,-84.7227071,39.0841968,-1.548567,53.801279
31,28.97696,41.00527,30.70563,36.88414
31,0.121817,52.205337,-0.1276831,51.5073346
31,-0.1276831,51.5073346,174.885971,-40.900557
31,-74.0059731,40.7143528,-1.1743197,52.3555177
31,6.1422961,46.1983922,-71.542969,-35.675147
31,-3.435973,55.378051,133.775136,-25.274398
31,-3.74922,40.463667,-4.4200163,36.7196484
30,-3.435973,55.378051,-3.188267,55.953252
30,-3.435973,55.378051,-102.552784,23.634501
30,18.4240553,-33.9248685,18.4240553,-33.9248685
30,-0.1276831,51.5073346,-1.216844,51.0895203
30,-74.0059731,40.7143528,28.97696,41.00527
30,-0.1276831,51.5073346,-3.943646,51.62144
30,-70.7307476,-33.5002916,-3.7003454,40.4166909
30,-102.552784,23.634501,-100.309201,25.6732109
30,-0.1276831,51.5073346,-3.74922,40.463667
30,-84.7227071,39.0841968,-87.6297982,41.8781136
30,6.069864,46.317077,6.1422961,46.1983922
30,-115.9905865,33.2966856,-0.1276831,51.5073346
30,6.1422961,46.1983922,-117.1572551,32.7153292
30,151.2068896,-33.873651,115.8573389,-31.9528536
30,150.5099759,-23.3776546,-0.1276831,51.5073346
30,-3.74922,40.463667,-63.616672,-38.416097
30,-0.1276831,51.5073346,4.3517103,50.8503396
30,-84.7227071,39.0841968,-95.712891,37.09024
30,-2.247926,53.479251,-1.890401,52.486243
30,-105.2705456,40.0149856,-106.346771,56.130366
30,2.213749,46.227638,2.213749,46.227638
30,-84.7227071,39.0841968,-4.251806,55.864237
29,-84.7227071,39.0841968,103.819836,1.352083
29,-0.1276831,51.5073346,80.249583,13.060422
